Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Subiu?
2549999952316280.0,2549999952316280.0,2650000095367430.0,2674999952316280.0,2.75,3.0,3450000047683710.0,4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,Sim
2549999952316280.0,2650000095367430.0,2674999952316280.0,2.75,3.0,3450000047683710.0,4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30",Sim
2650000095367430.0,2674999952316280.0,2.75,3.0,3450000047683710.0,4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30",Sim
2674999952316280.0,2.75,3.0,3450000047683710.0,4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",Não
2.75,3.0,3450000047683710.0,4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,Sim
3.0,3450000047683710.0,4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,Não
3450000047683710.0,4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,Sim
4239999771118160.0,4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",Não
4525000095367430.0,4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,Sim
4715000152587890.0,4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,Sim
4130000114440910.0,440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,Não
440500020980835.0,4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,Não
4574999809265130.0,4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,Não
4550000190734860.0,4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,Não
4525000095367430.0,4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,Não
